논문명,저자명,발행연도,인용된 총 횟수,참고문헌 수,소속기관,소속기관_정규화,주제분야,학술지명,발행기관명,주제어,키워드_정규화,URL,논문 ID,초록,영어초록,참고문헌목록,DOI,언어,호
덕 윤리와 정약용의 덕론,오주연;이장희,2023,0,27,건국대학교,건국대학교,중국어와문학,중국학보,한국중국학회,"유학, 덕 윤리, 비교철학, 다산 정약용, 성인","다산 정약용, 덕 윤리, 비교철학, 성인, 유학",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003022307,ART003022307,,,,,,
유학 사상과 현대 서양 덕 윤리,김유곤,2024,0,27,전북대학교,전북대학교,철학,동양철학연구,동양철학연구회,"현대 서양 덕 윤리, 맹자(孟子), 주자(朱子), 양명(陽明), 다산(茶山).","孟子, 朱子, 陽明, 다산(茶山)., 맹자, 양명, 주자, 현대 서양 덕 윤리",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003114212,ART003114212,,,,,,
도덕 교육의 덕의 관점에 대한 덕 윤리적 해명,장동익,2024,0,19,공주교육대학교,공주교육대학교,기타인문학,인문과학,인문학연구원,"덕 윤리, 덕의 관점, 도덕 교육, 의무 윤리, 인성교육진흥법","덕 윤리, 덕의 관점, 도덕 교육, 의무 윤리, 인성교육진흥법",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003115241,ART003115241,,,,,,
덕 윤리의 특성과 도덕 교육의 덕의 관점의 상관성,장동익,2024,0,15,공주교육대학교 윤리교육과,공주교육대학교,윤리교육학,초등도덕교육,한국초등도덕교육학회,"덕 윤리, 의무 윤리, 도덕 교육, 덕의 관점, 성품, 공리주의","공리주의, 덕 윤리, 덕의 관점, 도덕 교육, 성품, 의무 윤리",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003124080,ART003124080,,,,,,
루터와 제자도－ 교리문답에 관한 덕 윤리의 조망을 중심으로,문시영,2024,1,35,남서울대학교,남서울대학교,기타기독교신학,대학과 선교,한국대학선교학회,"제자도, 덕 윤리, 교리문답, 일상의 제자도, 사회적 영성, 마르틴 루터","교리문답, 덕 윤리, 마르틴 루터, 사회적 영성, 일상의 제자도, 제자도",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003095228,ART003095228,,,,,,
칼뱅의 ‘제자도’에 관한 덕 윤리의 조망,문시영,2025,0,0,남서울대학교,남서울대학교,기타기독교신학,장신논단,기독교사상과문화연구원,"제자도, 덕 윤리, 성화, 성품함양, 사회적 영성","덕 윤리, 사회적 영성, 성품함양, 성화, 제자도",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003185492,ART003185492,,,,,,
"유교 윤리는 의무론인가, 덕윤리인가? - 측은지심을 중심으로 -",정재현,2023,1,32,서강대학교,서강대학교,유교학,유교사상문화연구,한국유교학회,"유교 윤리, 의무론, 이성주의 덕윤리, 감정주의 덕윤리, 측은지심, 덕","감정주의 덕윤리, 덕, 유교 윤리, 의무론, 이성주의 덕윤리, 측은지심",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003007620,ART003007620,,,,,,
율곡 誠意 공부의 덕 윤리적 함의,최보경,2023,0,22,고려대학교,고려대학교,철학,동양철학,한국동양철학회,"율곡, 誠意, 덕 윤리. 意, 實心","實心, 誠意, 덕 윤리. 意, 율곡",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002983612,ART002983612,,,,,,
"『빌러비드』에 나타난 교만, 공감, 그리고 덕 윤리  구현의 양상",변효정,2025,0,33,대진대학교 상생교양대학 교양학부,대진대학교,기타인문학,스토리앤이미지텔링,스토리앤이미지텔링연구소,"『빌러비드』, 마사 누스바움, 덕 윤리, 교만, 공감","『빌러비드』, 공감, 교만, 덕 윤리, 마사 누스바움",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003213975,ART003213975,,,,,,
덕 윤리로 읽는 사회적 영성과 성품화를 위한 과제,문시영,2022,1,44,남서울대학교,남서울대학교,기타인문학,신학과 사회,21세기기독교사회문화아카데미,"사회적 영성, 공감, 환대, 책임, 소통, 제자도, 덕 윤리","공감, 덕 윤리, 사회적 영성, 소통, 제자도, 책임, 환대",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002817691,ART002817691,,,,,,
다문화 시대에서 아리스토텔레스 덕 윤리학 도입의 필요성 고찰,장정아,2022,0,17,부산대학교,부산대학교,기타사회과학,인문사회 21,인문사회 21,"근대 윤리학, 다문화, 덕 윤리, 아리스토텔레스, 행위자 중심 윤리","근대 윤리학, 다문화, 덕 윤리, 아리스토텔레스, 행위자 중심 윤리",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002812313,ART002812313,,,,,,
선교적 교회를 위한 덕 윤리: 조나단 에드워즈의 참된 미덕의 본질을 중심으로,강성호,2024,2,46,고신대학교,고신대학교,기독교신학,선교신학,한국선교신학회,"선교적 교회, 조나단 에드워즈, 덕 윤리, 공공신학, 한국교회.","공공신학, 덕 윤리, 선교적 교회, 조나단 에드워즈, 한국교회.",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003054103,ART003054103,,,,,,
The Effects of Medical Ethics Education Centered on Virtue-based Bioethics: Focusing on a Perception Survey of a Medical School,유동미;김수정,2024,0,11,가톨릭대학교 의과대학,가톨릭대학교,학제간연구,생명윤리,한국생명윤리학회,"Virtue Ethics, Bioethics Education, Ethical Sensitivity, Decision-Making Skills, Medical Students","Bioethics Education, Decision-Making Skills, Ethical Sensitivity, Medical Students, Virtue Ethics",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003161729,ART003161729,,,,,,
